revwNum,kbcSiteCode,revwKindCode,revwPatrCode,mmbrNum,mmbrId,cretDttm,revwCntt,revwEmtnKywrPatrCode,revwEmtnKywrCode,revwEmtnKywrName,revwRvgr,splrInclYsno,hdngYsno,cttsHdngRsnCode,hdngRsn,attndChekTrgtYsno,ordrId,rewardEvcAmnt,rewardEvcIsncYsno,rewardEvcIsncDate,mgrRewardEvcIsncYsno,mgrRewardEvcIsncRsn,evntId,dltYsno,saleCmdtid,saleCmdtDvsnCode,cmdtName,cmdtcode,saleLmttAge,recdcode,saleCmdtGrpDvsnCode,imgUrl,crtrId,amnrId,reviewAtacList,reviewAtacCount,atacFileNum,reviewRecommendCount,reviewCommentCount,reviewDeclarationCount,reviewRecommendUserYsno,declaration5timesYsno,declarationUserYsno,blockUserYsno,firstRevwNum,oneMonthRevwNum,chrcList,fndgPrjtSrmb,turnSrmb
2400002,001,001,002,12001323605,s1******,2018-02-14 08:00:45.243,개념 잡기 괜찮아요,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,12*********,12*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400064,001,001,002,62005341313,3d*****,2018-01-15 16:12:34.283,압축된 내용이지만 두고두고 볼만한 책,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400017,001,001,002,42003048023,ls****,2018-01-13 16:05:23.45,좋아요,002,001,집중돼요,3,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,42*********,42*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400014,001,001,002,32007041015,ce*****,2018-01-12 11:00:21.523,조아요,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,32*********,32*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2399996,001,001,002,11999243300,to*****,2017-12-27 18:01:48.43,굿,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,11*********,11*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400101,001,001,002,62016388287,as********,2017-12-01 09:05:38.8,딥러닝을 시작하시는 분들이라면 충분히 소장할만한 가치가 있는 책인거 같습니다. 다만 딥러닝개념을 처음 접하시는 분들이라면 완벽히 이해하는데는 버거울수도 있겠네요.,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400018,001,001,002,42003063800,la****,2017-11-07 16:57:01.853,딥러닝이라는 무거운 주제를 기본부터 차근차근 다뤄서 이해하는데 도움이 많이 된다.,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,42*********,42*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400085,001,001,002,62012447127,ji*******,2017-10-11 09:01:35.6,술술 잘 읽히고 이해도 잘됩니다.,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2399995,001,001,002,11999142023,do*****,2017-09-02 21:33:31.373,머신러닝을 한방에 일망타진한 느낌!!,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,11*********,11*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400059,001,001,002,62004190771,ki*****,2017-08-16 11:38:45.466,왜 많이 팔리는지 알 수 있는 책설명 및 그림을 통해 이해하기 쉽도록 도와줍니다.,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400075,001,001,002,62008438157,xe***,2017-08-07 10:38:15.976,유용합니다. 좋아요.,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400078,001,001,002,62010068198,sv****,2017-07-13 10:20:10.486,쉽게 잘 설명해줍니다,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400072,001,001,002,62008046362,na******,2017-06-11 12:29:44.77,쉽게 잘읽힙니다!!,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400052,001,001,002,62003121341,po*******,2017-06-08 19:50:54.216,선물하려고 추가 구매했어요~,002,003,쉬웠어요,3,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400055,001,001,002,62003159470,wl****,2017-05-04 19:21:41.223,좋아요,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
